Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1695351531,500,,Aggregated,143.200000,0.000000,960,1000,1100,1800,2100,3700,4200,5700,8900,17000,17000,8191,0,960.0,1296.4901842397717,248.24108000007072,16502.687678000257,255.80087901355145
1695351532,500,,Aggregated,144.300000,0.000000,960,1100,1100,1800,2100,3700,4200,5100,8900,17000,17000,8339,0,960.0,1296.7589908174818,248.24108000007072,16502.687678000257,255.64084422592637
1695351533,500,,Aggregated,142.800000,0.000000,960,1100,1100,1800,2100,3700,4200,5100,8900,17000,17000,8480,0,960.0,1300.844857267214,248.24108000007072,16502.687678000257,255.84174528301887
1695351534,500,,Aggregated,141.800000,0.000000,970,1100,1100,1800,2100,3700,4200,5100,8900,17000,17000,8622,0,970.0,1305.433288424493,248.24108000007072,16502.687678000257,255.9190443052656
1695351535,500,,Aggregated,141.300000,0.000000,970,1100,1100,1800,2100,3700,4200,5100,8900,17000,17000,8768,0,970.0,1306.103320368267,248.24108000007072,16502.687678000257,255.9949817518248
1695351536,500,,Aggregated,140.000000,0.000000,970,1100,1200,1800,2100,3700,4200,5700,8900,17000,17000,8903,0,970.0,1311.0472923217967,248.24108000007072,16502.687678000257,255.82197012243063
1695351537,500,,Aggregated,140.100000,0.000000,970,1100,1200,1800,2100,3700,4200,5700,8700,17000,17000,9041,0,970.0,1312.969885340775,248.24108000007072,16502.687678000257,256.02267448291116
1695351538,500,,Aggregated,140.200000,0.000000,970,1100,1200,1800,2100,3700,4200,5700,8700,17000,17000,9188,0,970.0,1314.094343356764,248.24108000007072,16502.687678000257,255.66913365259035
1695351539,500,,Aggregated,140.600000,0.000000,980,1100,1200,1800,2100,3700,4300,5700,8700,17000,17000,9334,0,980.0,1319.2688384124656,248.24108000007072,16502.687678000257,255.5895650310692
1695351540,500,,Aggregated,140.600000,0.000000,980,1100,1200,1800,2100,3700,4200,5700,8700,17000,17000,9461,0,980.0,1317.218794477323,248.24108000007072,16502.687678000257,255.52172074833527
1695351541,500,,Aggregated,140.400000,0.000000,980,1100,1200,1800,2100,3700,4200,5700,8700,17000,17000,9596,0,980.0,1318.4233937567687,248.24108000007072,16502.687678000257,255.9099624843685
1695351542,500,,Aggregated,140.000000,0.000000,980,1100,1200,1800,2100,3700,4200,5700,8700,17000,17000,9740,0,980.0,1319.4409164486601,248.24108000007072,16502.687678000257,256.0669404517454
1695351543,500,,Aggregated,138.700000,0.000000,980,1100,1200,1900,2100,3700,4300,7300,8900,17000,17000,9897,0,980.0,1323.8025617180906,248.24108000007072,16502.687678000257,256.2369404870163
1695351544,500,,Aggregated,140.000000,0.000000,980,1100,1200,1900,2100,3700,4300,7300,8700,16000,17000,10026,0,980.0,1324.59298414801,248.24108000007072,16502.687678000257,256.28047077598245
1695351545,500,,Aggregated,139.600000,0.000000,980,1100,1200,1900,2100,3700,4300,7300,10000,17000,17000,10150,0,980.0,1327.8903751153648,248.24108000007072,16596.38473899986,256.30758620689653
1695351546,500,,Aggregated,141.600000,0.000000,990,1100,1200,1900,2100,3700,4300,7900,14000,17000,17000,10283,0,990.0,1332.2202057459838,248.24108000007072,16718.104311999923,256.5186229699504
1695351547,500,,Aggregated,139.700000,0.000000,990,1100,1200,1900,2100,3700,4300,7900,14000,17000,17000,10417,0,990.0,1333.8530173937747,248.24108000007072,16718.104311999923,256.82154171066526
1695351548,500,,Aggregated,137.700000,0.000000,990,1100,1200,1900,2100,3700,4300,7800,14000,17000,17000,10564,0,990.0,1336.0263938313083,248.24108000007072,16718.104311999923,256.96800454373346
1695351549,500,,Aggregated,138.000000,0.000000,990,1100,1200,1900,2100,3700,4300,7900,16000,17000,17000,10703,0,990.0,1342.1580698069642,248.24108000007072,16718.104311999923,256.9473979258152
1695351550,500,,Aggregated,137.400000,0.000000,990,1100,1200,1900,2100,3800,4300,8000,16000,17000,17000,10849,0,990.0,1347.67186030454,248.24108000007072,16718.104311999923,256.915015208775
1695351551,500,,Aggregated,137.600000,0.000000,990,1100,1200,1900,2100,3700,4300,8000,16000,17000,17000,10980,0,990.0,1347.7777233531833,248.24108000007072,16718.104311999923,256.89444444444445
1695351552,500,,Aggregated,137.100000,0.000000,990,1100,1200,1900,2100,3700,4300,8000,16000,17000,17000,11116,0,990.0,1351.9899889601443,248.24108000007072,16718.104311999923,256.5501079525009
1695351553,500,,Aggregated,139.100000,0.000000,1000,1100,1200,1900,2100,3700,4300,8000,16000,17000,18000,11243,0,1000.0,1355.298792535531,248.24108000007072,17524.28754499988,256.8677399270657
1695351554,500,,Aggregated,137.500000,0.000000,1000,1100,1200,1900,2100,3700,4300,8000,16000,17000,18000,11356,0,1000.0,1359.803319633496,248.24108000007072,17524.28754499988,256.9476047904192
1695351555,500,,Aggregated,137.200000,0.000000,1000,1100,1200,1900,2100,3800,4300,8100,16000,17000,18000,11516,0,1000.0,1369.302080302187,248.24108000007072,17524.28754499988,257.0946509204585
